Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
jo	24676.896556466883	10765				
w	27225.9638087466	11877				w
srjejźnej	330.0950398635607	144				
aziskej	11.461633328595859	5				
afghanistan	25.215593322910888	11				
z	9751.557635969357	4254				z
turkmeńskeju	6.876979997157515	3				
iranom	18.33861332575337	8				
tadžikistanom	6.876979997157515	3				
chinskeju	38.969553317225916	17				
usbekistanom	9.169306662876686	4				
pakistanom	13.75395999431503	6				
nejwuše	284.2485065491773	124				
městno	403.4494931665742	176				mʲ ɪ s t n ɔ
nad	877.9611129704427	383				
normalneju	334.67969319499906	146				
nulu	339.2643465264374	148				
nejniše	93.98539329448603	41				
města	687.6979997157515	300				mʲ ɪ s t a
nejwětše	547.866073106882	239				
kabul	4.584653331438343	2				
wobydlarjow	1350.180406108592	589				
file	153.5858866031845	67				
nastawk	59.60049330869846	26				
wjelikopósłaństwa	20.630939991472545	9				
barlinju	130.6626199459928	57				
kategorija	15195.83346705239	6629				
stat	914.6383396219495	399				
aziji	401.15716650085506	175				
kontinent	36.67722665150674	16				
kótaryž	1070.516552890853	467				
lažy	1111.7784328737982	485				
pódpołnocnej	417.20345316088924	182				
podpołdnjowej	6.876979997157515	3				
zemskej	32.092573320068404	14				
połkuli	66.47747330585598	29				
'płoń	13.75395999431503	6				
afriki	112.32400662023942	49				
'wobydlaŕstwo	9.169306662876686	4				
lěse	13.75395999431503	6				
'srjejźna	6.876979997157515	3				
gustosć	68.76979997157515	30				
ludnosći	55.01583997726012	24				
chórgoj	158.17053993462284	69				x ʊ r ɡ ɔ j
y	247.57127989767054	108				ɨ
wobydlarje	100.86237329164355	44				
płoń	146.70890660602697	64				
algeriska	45.846533314383436	20				
wokoło	745.0061663587308	325				ɔ k ɔ w ɔ
angola	18.33861332575337	8				
benin	13.75395999431503	6				
burkina	27.50791998863006	12				
faso	29.80024665434923	13				
burundi	18.33861332575337	8				
centralnoafrikańska	11.461633328595859	5				
republika	591.4202797555463	258				
džibuti	27.50791998863006	12				
ekwatorialna	9.169306662876686	4				
guineja	22.923266657191718	10				
eritreja	13.75395999431503	6				
etiopiska	20.630939991472545	9				
gabun	18.33861332575337	8				
gambija	11.461633328595859	5				
ghana	16.046286660034202	7				
guineja-bissau	4.584653331438343	2				
kap	11.461633328595859	5				
verde	22.923266657191718	10				
kenia	4.584653331438343	2				
komory	9.169306662876686	4				
demokratiska	66.47747330585598	29				
kongo	119.20098661739692	52				
lesotho	16.046286660034202	7				
liberia	6.876979997157515	3				
libyska	29.80024665434923	13				
madagaskar	13.75395999431503	6				
malawi	27.50791998863006	12				
mali	48.1388599801026	21				
marokko	41.26187998294509	18				
mauretańska	13.75395999431503	6				
mauritius	11.461633328595859	5				
namibija	11.461633328595859	5				
niger	36.67722665150674	16				
nigerija	18.33861332575337	8				
pódpołdnjowa	226.940339906198	99				
afrika	91.69306662876687	40				
ruanda	13.75395999431503	6				
sambija	9.169306662876686	4				
são	29.80024665434923	13				
tomé	11.461633328595859	5				
príncipe	9.169306662876686	4				
sejšele	4.584653331438343	2				
sierra	25.215593322910888	11				
leone	22.923266657191718	10				
pśibrjog	80.231433300171	35				
słonoweje	50.431186645821775	22				
kósći	43.55420664866426	19				
až	4332.497398209234	1890				
do	5203.58153118252	2270				d ɔ
milion	41.26187998294509	18				
swasiska	4.584653331438343	2				
tansanija	22.923266657191718	10				
togo	958.1925462706138	418				
tšad	9.169306662876686	4				
tuneziska	32.092573320068404	14				
uganda	18.33861332575337	8				
simbabwe	32.092573320068404	14				
teritorij	153.5858866031845	67				
i	1203.4714995025652	525				i
ceuta	13.75395999431503	6				
kanariske	13.75395999431503	6				
kupy	339.2643465264374	148				
madeira	9.169306662876686	4				
mayotte	11.461633328595859	5				
melilla	9.169306662876686	4				
pódwjacorna	89.4007399630477	39				
sahara	20.630939991472545	9				
réunion	6.876979997157515	3				
somaliland	6.876979997157515	3				
helena	13.75395999431503	6				
krotkozajtšnej	77.93910663445183	34				
europje	877.9611129704427	383				
stolica	733.544533030135	320				
satelitowy	13.75395999431503	6				
wobraz	7633.447796844842	3330				
albańskeje	9.169306662876686	4				
ortodoksna	4.584653331438343	2				
cerkwja	190.26311325469123	83				
